Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
B	C	92583	5.46	15628	7.85	59613	57.3%	10251	56.2%	14444	57.7%	24695	57.0%	34927	57.6%	-0.5pp
R	M	1350	1.31	873	1.30	3972	55.8%	675	57.6%	967	56.6%	1642	57.0%	2331	54.9%	2.1pp
G	C	94497	5.69	14380	8.14	49465	56.9%	8847	57.8%	12066	56.4%	20913	57.0%	28559	56.8%	0.2pp
B	U	25307	4.28	4452	6.17	18224	56.6%	3045	56.8%	4494	57.1%	7539	57.0%	10688	56.3%	0.7pp
R	C	106549	7.24	13802	10.47	18828	56.9%	3012	55.8%	4436	57.8%	7448	57.0%	11385	56.9%	0.1pp
G	U	17258	2.62	4799	3.09	22676	55.5%	3760	54.3%	5941	58.7%	9701	57.0%	12981	54.4%	2.5pp
W	C	104857	6.86	16900	9.67	38336	59.0%	6321	56.3%	8740	57.5%	15061	57.0%	23281	60.3%	-3.3pp
R	U	18655	3.11	4133	3.98	18953	56.2%	3195	58.8%	4326	55.5%	7521	56.9%	11435	55.8%	1.1pp
W	R	7568	3.40	1500	4.54	5462	56.9%	985	58.2%	1289	55.9%	2274	56.9%	3191	57.0%	-0.1pp
U	M	2045	1.88	910	1.89	3520	54.1%	570	52.3%	979	59.6%	1549	56.9%	1973	52.0%	4.9pp
U	C	103464	7.21	14083	10.00	31866	55.0%	5630	57.2%	8623	56.6%	14253	56.8%	17620	53.6%	3.2pp
G	C	102233	6.56	12588	9.64	22820	56.0%	3710	53.6%	5945	58.7%	9655	56.7%	13168	55.5%	1.2pp
A       U	20588	3.33	5049	4.31	23304	56.1%	4416	57.1%	5707	56.3%	10123	56.6%	13183	55.6%	1.0pp
G	C	105029	7.13	13181	10.32	24879	56.6%	4426	57.3%	6059	56.2%	10485	56.6%	14404	56.7%	-0.0pp
R	U	28850	5.00	5016	6.84	16352	58.0%	2631	56.3%	3638	56.8%	6269	56.6%	10088	58.9%	-2.3pp
A       R	2549	1.32	1874	1.28	9891	56.2%	1851	54.7%	2442	57.9%	4293	56.5%	5598	55.9%	0.6pp
WBR	R	7510	3.68	2040	4.32	5613	56.0%	940	56.3%	1437	56.6%	2377	56.5%	3236	55.7%	0.8pp
G	C	78295	4.56	13266	6.34	55043	56.1%	9798	58.2%	13568	55.2%	23366	56.5%	31688	55.7%	0.7pp
R	C	89568	5.51	15218	7.55	54647	57.5%	9790	61.4%	11665	52.1%	21455	56.4%	33195	58.2%	-1.9pp
BG	U	28998	5.23	5122	7.28	13521	55.7%	2229	55.5%	3467	56.8%	5696	56.3%	7827	55.3%	1.0pp
UB	U	28732	5.31	4313	7.51	9738	53.8%	1643	55.6%	2668	56.7%	4311	56.3%	5430	51.8%	4.5pp
B	R	9031	4.21	1521	5.94	3290	55.5%	516	49.8%	827	60.2%	1343	56.2%	1949	55.0%	1.2pp
R	C	102537	6.68	17666	9.05	41097	57.8%	6553	53.8%	9480	57.8%	16033	56.2%	25068	58.9%	-2.7pp
